id	filename	md5	size	state
a795a170-0f98-42a8-94fa-cfcf19668f27	CDDP-ABJO-TTP1.3303BB41-782E-4528-9BE0-D7827CDE4A3E.pdf	3dbf886abc513ad436f860f85a468960	1647191	released
038d0366-d815-4867-b088-f5ebb0c1d7b4	CDDP-ACIV-TTP1.8E8C1922-CA60-4EE3-8490-6F7B97BA8023.pdf	192cf69f05604892bcc0140282ef272e	1964123	released
d680bb00-31d0-4375-9abb-a6103d927a45	CDDP-ACPV-TTP1.91586A5F-4EEA-40CD-98D6-32AA7EC81383.pdf	2d4daeb43b0b7a95e8f6ad5a4f16b545	3639200	released
5ab40d9b-863d-4343-bdf4-55db023dbd7f	CDDP-ABKI-TTP1.5738A5F4-BA3A-4012-94BA-8D3F0BC11C7F.pdf	ae5fa3013db4efe7badd9d9ca180116f	2255739	released
1dcdb8bb-aba9-465b-96ab-aad8f4631047	CDDP-ACNN-TTP1.98D41ADD-1EF1-45EE-A541-2FCC5A83C893.pdf	aa295c965bd81f082a4c6edc263b75dd	2241555	released
c3813f2a-746a-4231-8e4b-f55e4b021852	CDDP-ABLE-TTP1.CBEA8FE6-4BBC-41AD-834C-C0660186AC6E.pdf	04240be3c1879c6c434201351c8d0318	4044020	released
3f1c306c-f270-402f-accf-85387b2399e8	CDDP-ACQA-TTP1.7D65991E-736E-4EB7-972A-DF7A17120BF3.pdf	fd390334bbd6176229022fa2aa510296	4395504	released
c30d3287-6fac-495e-93c8-4d8b60c70898	CDDP-ABKE-TTP1.83E10CEF-3304-4759-B5B3-375D7402D85F.pdf	a9d40749e92e0b64806205949c7af1c4	1948235	released
0c5a83ba-6e8d-4fcb-9fbf-f085652ee038	CDDP-A8B0-TTP1.93EE08D5-9518-401E-9568-DE195CF6E1CA.pdf	97977479abed0c9aab51df3c611c2b54	3316476	released
05eafe6b-6631-461f-bed9-b379e96729fd	CDDP-ACMK-TTP1.30B5D443-938C-4437-B53E-EC6A5A0614C6.pdf	2a2c80b6d9adf21484f05cfaff86d22d	1633011	released
ec88ef05-0efb-44ba-92d2-f00bb02cd79f	CDDP-ABJP-TTP1.DFCB1012-2193-496C-B782-BA41CA3DC53E.pdf	23ca96547051a32ed897d514562dd0a3	1692859	released
0afaec00-22c0-41a5-8886-45a0db3dc1e9	TCGA-EW-A1PD.B6D80CA9-F4DA-4DFB-80BF-08BEE17142BD.PDF	7ffd8905c8fd69c1a066470fb5b8a0ac	185921	released
05365a0d-efe3-4a77-83c7-312f98933284	TCGA-EW-A6SA.9C971870-BA92-4E0C-9861-31C56B7E7D64.PDF	b5d604b22a6ac1b79df05667d95981cc	311165	released
a1ebd3d3-cc3c-4ff4-8959-f5175b8d3fac	TCGA-3H-AB3X.D1001F1F-5707-4D67-B915-C8899511D3EA.PDF	7c7ad6577740bf5fe618bf1648ad1091	72124	released
5f56a97f-d9e3-49e6-9ce7-4d0624f703c7	TCGA-95-7562.DFDFA10E-5E7D-4A1D-B355-AFC8C8418925.PDF	3e0ad3cbcea27e0bcb9d1776a0aa8703	280222	released
e3114458-4138-44da-8629-37ab444658b5	TCGA-49-6742.D9853B55-FD00-4A20-8181-5F4DAD297724.PDF	bb33a72daec8ccc3b8981a66a6843e92	64255	released
9b0e8212-dc29-434d-81b1-f83826fced50	TCGA-05-4384.B70E95C5-2E6C-4409-8BBD-80E03E302B4C.PDF	54cd74d909cd47772340aa8760a63598	10137	released
8dbb6675-f23d-41ce-9ad3-48bb75567284	TCGA-55-8090.8F75F207-FE12-44BA-86B2-444AB5578D45.PDF	d12ea838130264fbf010d4d128a7fbac	85289	released
2b56b873-dc30-4602-a9af-a608bd720e79	TCGA-38-4629.9546E974-686D-4D97-B5BD-771972CB4B82.PDF	a5a05466d6e30fad2401172a69500a3a	107759	released
f0bde46b-98cc-4368-8fa1-47735efee92a	TCGA-73-4676.D93488A2-E8A9-4775-8D8A-9622B237BA9D.PDF	ccc5aef07dfaa7200a68aa11decbc1dc	135062	released
